layer128: 0.9839441997  beta: 0.10356761871720466
layer129: 0.9841253428  beta: 0.10210386662416879
layer130: 0.9843012689  beta: 0.10064296715313062
layer131: 0.9844720735  beta: 0.0991979196268824
layer132: 0.9846378982  beta: 0.09778420571900556
layer133: 0.9847989350  beta: 0.09641837391315616
layer134: 0.9849554242  beta: 0.09511650629339435
layer135: 0.9851076492  beta: 0.09389278267518879
layer136: 0.9852559267  beta: 0.09275829779052656
layer137: 0.9854005948  beta: 0.09172022968738792
layer138: 0.9855420004  beta: 0.09078141586977408
layer139: 0.9856804856  beta: 0.0899403674884783
layer140: 0.9858163765  beta: 0.08919172998489809
layer141: 0.9859499736  beta: 0.08852716745547434
layer142: 0.9860815449  beta: 0.0879365999219434
layer143: 0.9862113239  beta: 0.08740966090430001
layer144: 0.9863395104  beta: 0.08693718183391022
layer145: 0.9864662760  beta: 0.08651247146248348
layer146: 0.9865917716  beta: 0.08613216280872096
layer147: 0.9867161376  beta: 0.08579645724610654
layer148: 0.9868395134  beta: 0.08550869842235186
layer149: 0.9869620453  beta: 0.08527433485781796
layer150: 0.9870838911  beta: 0.08509944750129503
layer151: 0.9872052218  beta: 0.08498909812379773
layer152: 0.9873262173  beta: 0.08494577971344817
layer153: 0.9874470594  beta: 0.0849682206959756
layer154: 0.9875679222  beta: 0.08505072320187931
layer155: 0.9876889604  beta: 0.08518311943002421
layer156: 0.9878102978  beta: 0.08535132613488379
layer157: 0.9879320182  beta: 0.08553837882790352
layer158: 0.9880541579  beta: 0.08572574607356107
layer159: 0.9881767024  beta: 0.08589467259229351
layer160: 0.9882995863  beta: 0.08602729089698474
layer161: 0.9884226957  beta: 0.08610728503450685
layer162: 0.9885458727  beta: 0.08611998726026031
layer163: 0.9886689196  beta: 0.08605192462202102
layer164: 0.9887916025  beta: 0.08588997762736081
layer165: 0.9889136522  beta: 0.08562042926288593
layer166: 0.9890347640  beta: 0.085228235231072
layer167: 0.9891545951  beta: 0.08469681662381161
layer168: 0.9892727643  beta: 0.08400856782469322
layer169: 0.9893888520  beta: 0.08314611005817633
layer170: 0.9895024072  beta: 0.08209414393147058
layer171: 0.9896129575  beta: 0.08084160595250058
layer172: 0.9897200270  beta: 0.07938375088129457
