QAOA,12,['random', 0.5],1,0,0.7381858256774812,2112, 431, 3478.0442494000308216, 1.0409627999179065
QAOA,12,['random', 0.5],1,1,0.861786126497591,3621, 773, 1.777701499988325, 1.772438199899625
QAOA,12,['random', 0.5],1,2,0.5675706724228995,2489, 530, 1.1438695999677293, 1.1404314998653717
QAOA,12,['random', 0.5],1,3,0.6395513090776262,2792, 684, 1.305548699980136, 1.3013966000289656
QAOA,12,['random', 0.5],1,4,0.8650326521698528,5771, 910, 2.748377900046762, 2.7399889001389965
QAOA,12,['random', 0.5],1,5,0.7828376338035745,3302, 738, 1.61062099999981, 1.6060083997435868
QAOA,12,['random', 0.5],1,6,0.8607345591085337,3682, 910, 1.7678550999844447, 1.7625959999277256
QAOA,12,['random', 0.5],1,7,0.7317031024669243,6638, 976, 3.1800266000209376, 3.1707217998919077
QAOA,12,['random', 0.5],1,8,0.6785714285712162,1237, 328, 0.5640741999959573, 0.5624773000599816
QAOA,12,['random', 0.5],1,9,0.7291257957411781,3020, 798, 1.4345840999740176, 1.4299969000858255
QAOA,12,['random', 0.5],1,10,0.7132217438938579,3011, 871, 1.4660502999904566, 1.461765999905765
QAOA,12,['random', 0.5],1,11,0.667479461102642,2739, 582, 1.2662039000424556, 1.262331300007645
